"","SPY","AAPL"
"2001-01-03",0.0480349327458194,0.100840379550248
"2001-01-04",-0.0107644488521877,0.0419845536941224
"2001-01-05",-0.0326424884871384,-0.0402928753072928
"2001-01-08",0.00774069067846874,0.0114505034879965
"2001-01-09",-0.00264076943389098,0.0377359366053342
"2001-01-10",0.0175695489111439,-0.0363637176609464
"2001-01-11",0.000946075527173993,0.0867918189773816
"2001-01-12",-0.00189036262852765,-0.0451382514253803
"2001-01-16",0.00639170429491735,-0.00363699775538131
"2001-01-17",0.00458726702824376,-0.018247778825899
"2001-01-18",0.00995189066529272,0.111524438853499
"2001-01-19",-0.00568039329576707,0.0434776171821346
"2001-01-22",0.00664556333223797,-0.0128203915559614
"2001-01-23",0.00787584171179406,0.0649352412175817
"2001-01-24",0.00298815796471417,0
"2001-01-25",-0.00252095450940036,-0.0274393192691545
"2001-01-26",-0.00114829818969004,-0.0188082143413309
"2001-01-29",0.00533582837187294,0.108626288451219
"2001-01-30",0.00878475294359588,0.00288163809715493
"2001-01-31",-0.00566037141818333,-0.00574742291718633
